,name,age,job,incomeUSD,creditScore,ccNumber,married,hasChildren,height,weight,eyeColor,email,gender,hasDegree,bloodType,username,politicalLeaning,religion,doB,gpa,address.streetAddress,address.city,address.state,address.country,address.zip,address.geonameId,address.phoneNumber,address.ipAddress,address.countryCode,height_inches,weight_pounds,bmi,health,healthy_bmi_range,income level,region,state_population,state_per_capita_income
63,Melaine Sporer,21,Retail Sales Associate,31391,463,6709246156504177,False,False,165.0,75.3,GRAY,melaine@yahoo.com,Female,False,A+,melaine35,0.42,Christian,Tue Dec 10 04:29:21 UTC 2002,3.0,020 Reynolds Prairie,Lake Forest,New York,United States,33533-4037,5780026,+1 44267754453,200.0.220.164,US,64.96062992125984,166.0365,27.66,Overweight,18.5 - 25,Low income,Northeast,20201249,"78,089"
64,Lino Wuckert,20,Lawyer,118190,797,6767-2902-6641-2955-32,False,False,165.0,64.2,BROWN,lino@gmail.com,Female,False,AB+,lino87,-0.26,Christian,Wed Jun 09 00:13:33 UTC 2004,3.5,030 Ullrich Crossroad,Costa Mesa,North Carolina,United States,20680,5225631,+1 78730385961,169.100.144.254,US,64.96062992125984,141.561,23.58,Normal,18.5 - 25,Middle income,South,10439388,"57,416"
65,Jaimie Reichert,45,Dental Hygienist,75215,831,3529-5702-7960-2450,False,False,160.0,59.5,GRAY,reichert@hotmail.com,Male,True,AB+,jaimie87,-0.63,Christianity,Thu Jul 27 02:09:28 UTC 1978,2.4,17574 Troy Ford,Naples,California,United States,17179,4178550,+1 04138573631,63.58.247.136,US,62.99212598425197,131.1975,23.24,Normal,18.5 - 25,Middle income,West,39538223,"77,339"
66,Matha Lindgren,37,Hindu Priest,54785,573,6771-8992-2708-9710,True,False,150.0,64.3,GREEN,matha@yahoo.com,Female,False,A-,matha62,-0.08,Christianity,Tue Nov 24 19:05:02 UTC 1987,2.4,8213 Francisca Via,Pearl City,Louisiana,United States,74129-8534,5253219,+1 26712354930,2.9.208.15,US,59.05511811023622,141.7815,28.58,Overweight,18.5 - 25,Middle income,South,4657757,"54,622"
67,Cheryle Skiles,46,Licensed Practical Nurse (LPN),52532,713,6007-2204-2294-7352,False,True,166.0,55.3,GREEN,cheryleskiles@gmail.com,Female,False,A+,cheryle96,0.34,Folk Religions,Wed Sep 28 09:42:34 UTC 1977,4.0,6668 Truman Haven,Talladega,Michigan,United States,60567-4664,4930282,+1 94999771514,200.115.26.66,US,65.35433070866142,121.9365,20.07,Normal,18.5 - 25,Middle income,Midwest,10077331,"56,813"
68,Rudolph Larkin,48,Electrician,55308,472,5019-9109-9966-6488,False,False,166.0,75.7,HAZEL,larkin.larkin@yahoo.com,Female,True,A-,rudolph89,-0.35,Hinduism,Sat Oct 23 19:13:34 UTC 1976,3.2,85716 Rolland Branch,Scottsdale,Ohio,United States,60809,5392263,+1 18588844744,160.3.94.94,US,65.35433070866142,166.91850000000002,27.47,Overweight,18.5 - 25,Middle income,Midwest,11799448,"57,880"
69,Everett Daniel,23,CPA,85279,618,6759-6459-8670-7927,True,True,165.0,50.6,GREEN,everettdaniel@gmail.com,Male,False,A-,everett45,-0.18,Islam,Fri Dec 28 18:00:27 UTC 2001,2.4,876 Kennith Inlet,Jeffersontown,Oklahoma,United States,12916-6543,1764318,+60 222564472,150.66.228.243,MY,64.96062992125984,111.57300000000001,18.59,Normal,18.5 - 25,Middle income,South,3959353,"54,998"
70,Billy Hahn,52,Lawn Care Specialist,34066,584,4903-2875-7816-6111,True,False,161.0,50.3,GRAY,hahn.billy@hotmail.com,Female,True,B+,billy4,0.78,Christian,Tue Aug 17 15:43:07 UTC 1971,3.3,1240 Keven Locks,Ferguson,New Jersey,United States,02132,4518264,+1 71411244372,165.175.247.255,US,63.38582677165354,110.9115,19.41,Normal,18.5 - 25,Low income,Northeast,9288994,"78,700"
71,Haywood Fritsch,20,Astronaut,206490,805,3709-721760-70086,True,True,161.0,60.4,GREEN,haywood_fritsch@hotmail.com,Female,True,A-,haywood16,-0.71,Hinduism,Tue Sep 09 02:42:04 UTC 2003,4.0,1793 Gerlach Hills,Mountain View,Oregon,United States,05001,4160983,+1 87397612481,6.198.119.46,US,63.38582677165354,133.182,23.3,Normal,18.5 - 25,Upper income,West,4237256,"62,767"
72,Annamarie O'Reilly,34,Truck Driver,56256,476,6007-2291-9940-3580,False,True,166.0,65.8,GRAY,annamarie_o'reilly@gmail.com,Female,False,O+,annamarie87,0.62,Hinduism,Tue May 01 23:47:03 UTC 1990,3.2,42747 Jefferey Inlet,North Olmsted,Washington,United States,78067-6896,4889959,+1 51189861158,182.139.18.132,US,65.35433070866142,145.089,23.88,Normal,18.5 - 25,Middle income,West,7705281,"75,698"
73,Kym Reichert,21,Veterinarian,90512,404,3714-031268-75639,False,False,166.0,74.3,GREEN,reichert.reichert@hotmail.com,Female,False,A-,kym33,-0.15,Christianity,Sun Nov 10 14:06:21 UTC 2002,2.6,26314 Davis Bridge,Lompoc,Michigan,United States,26182,5572400,+1 45213880283,52.138.44.18,US,65.35433070866142,163.8315,26.96,Overweight,18.5 - 25,Middle income,Midwest,10077331,"56,813"
74,Royal Sporer,30,Web Developer,87672,507,6771-8927-9157-1205,True,False,161.0,59.0,GRAY,royal.sporer@gmail.com,Male,True,A+,royal8,0.4,Christianity,Thu Jan 13 07:31:24 UTC 1994,3.6,181 Willie Groves,Richland,Idaho,United States,89492,5295985,+1 61261041207,12.163.142.179,US,63.38582677165354,130.095,22.76,Normal,18.5 - 25,Middle income,West,1839106,"54,537"
75,Sam Hudson,32,Telephone Sales Representative,31790,824,6759-4482-1999-9577-79,False,False,156.0,75.3,BLUE,samhudson@yahoo.com,Male,False,B+,sam94,-0.26,Buddhism,Fri Feb 07 08:40:41 UTC 1992,2.6,3215 Gutmann Glens,Calabasas,Minnesota,United States,77923-4722,4160021,+1 62335485226,244.214.11.217,US,61.41732283464567,166.0365,30.94,Obese Class I,18.5 - 25,Low income,Midwest,5706494,"68,010"
76,Luther Green,45,Medical Technologist,68100,756,6007-2217-8193-7711,False,False,161.0,69.4,BROWN,luther.green@yahoo.com,Female,False,A+,luther12,0.17,Islam,Wed Oct 03 05:07:49 UTC 1979,2.8,9408 Corinna Loop,Manchester,Massachusetts,United States,62585-9265,2043837,+850 4406506234,6.40.46.227,KP,63.38582677165354,153.02700000000002,26.77,Overweight,18.5 - 25,Middle income,Northeast,7029917,"84,945"
77,Lino Ryan,19,IT Manager,114033,594,6007-2288-4633-9882,False,False,155.0,60.6,GRAY,linoryan@gmail.com,Female,False,A+,lino34,-0.55,Christian,Sat Sep 25 22:19:45 UTC 2004,1.9,87006 Desmond Pines,Corpus Christi,Alabama,United States,47354-3463,5404915,+1 53734515301,41.86.129.125,US,61.023622047244096,133.62300000000002,25.22,Healthy weight,5 - 85,Middle income,South,5024279,"50,637"
78,Oneida Rosenbaum,56,Operations Research Analyst,70704,756,6759-5825-7013-3137-02,False,True,170.0,80.5,GRAY,oneida_rosenbaum@yahoo.com,Male,False,AB-,oneida49,0.03,Islam,Sun Jun 16 08:56:27 UTC 1968,3.1,3158 Alita Station,Brea,Georgia,United States,94572-3031,5188140,+1 89970260697,255.209.2.165,US,66.92913385826772,177.5025,27.85,Overweight,18.5 - 25,Middle income,South,10711908,"57,129"
79,Len Stroman,22,Fire Marshal,72467,713,6771-8944-4537-0455,False,False,150.0,49.5,GRAY,lenstroman@gmail.com,Female,False,O+,len93,0.25,Buddhism,Sat Nov 23 09:26:41 UTC 2002,2.1,9596 Halvorson Radial,Brighton,New York,United States,91371-1185,4292071,+1 26485225057,152.212.46.147,US,59.05511811023622,109.14750000000001,22.0,Normal,18.5 - 25,Middle income,Northeast,20201249,"78,089"
80,Alphonse Wehner,29,Event Planner,77153,646,6709705219559163,False,False,151.0,60.1,GRAY,alphonse_wehner@hotmail.com,Female,False,A-,alphonse90,0.12,Islam,Sun Nov 05 19:02:06 UTC 1995,2.6,273 Ebert Cliffs,Bettendorf,California,United States,01656-3411,4225039,+1 46376296815,86.244.213.98,US,59.44881889763779,132.5205,26.36,Overweight,18.5 - 25,Middle income,West,39538223,"77,339"
81,Gigi Kling,55,Cleaner,25331,648,6771-8911-8124-0538,False,True,150.0,65.9,BROWN,gigikling@gmail.com,Male,True,AB+,gigi72,-0.12,Christianity,Thu Oct 16 22:34:41 UTC 1969,2.1,2744 Alden Estate,Cliffside Park,Colorado,United States,55738-0436,5052658,+1 98605025097,100.117.252.204,US,59.05511811023622,145.3095,29.29,Overweight,18.5 - 25,Low income,Unknown,5773714,"74,167"
82,Twila Kessler,38,Chief Innovation Officer (CINO),179807,417,6759-4076-6889-4329,False,False,170.0,74.8,AMBER,kessler@gmail.com,Male,True,A+,twila36,-0.23,Christianity,Mon Aug 12 20:49:34 UTC 1985,2.0,4980 Nicky Port,Smyrna,Ohio,United States,96908,5147097,+1 95730411951,113.167.76.166,US,66.92913385826772,164.934,25.88,Overweight,18.5 - 25,Upper income,Midwest,11799448,"57,880"
83,Donovan Cassin,33,Math Teacher,66892,634,6709267959983236,False,False,170.0,65.1,BROWN,donovan_cassin@yahoo.com,Male,False,A-,donovan23,0.18,Christian,Sat Jun 22 13:29:12 UTC 1991,2.9,007 Carlo Pike,Madison,Massachusetts,United States,18002,4862760,+1 03129693400,74.213.113.160,US,66.92913385826772,143.5455,22.53,Normal,18.5 - 25,Middle income,Northeast,7029917,"84,945"
84,Keith Wintheiser,27,Lyft Driver,38312,580,6007-2229-9043-4995,False,False,170.0,54.0,GRAY,wintheiser.keith@gmail.com,Female,False,A+,keith89,-0.03,Islam,Thu Jan 16 01:36:37 UTC 1997,4.0,76147 Rick Inlet,Lawrence,Florida,United States,85565,5356521,+1 90403766487,137.224.240.148,US,66.92913385826772,119.07000000000001,18.69,Normal,18.5 - 25,Low income,South,21538187,"63,597"
85,Jere Swaniawski,22,Science Teacher,69967,794,3681-365677-9737,False,False,150.0,59.6,BROWN,swaniawski.swaniawski@yahoo.com,Female,False,A+,jere61,0.84,Islam,Mon Apr 08 22:51:20 UTC 2002,3.1,338 Jeanette Union,Commerce City,Kansas,United States,36364-5932,5147097,+1 17145838444,6.209.224.2,US,59.05511811023622,131.418,26.49,Overweight,18.5 - 25,Middle income,Midwest,2937880,"60,152"
86,King Turner,25,Music Teacher,93694,373,5019-6052-0283-6239,True,False,161.0,79.8,BLUE,turner.king@gmail.com,Male,False,A+,king63,0.96,Christian,Fri Sep 17 00:00:42 UTC 1999,2.9,988 Prosacco Route,Buena Park,Alaska,United States,01234,4930511,+1 93357134537,3.148.222.89,US,63.38582677165354,175.959,30.79,Obese Class I,18.5 - 25,Middle income,West,733391,"68,919"
87,Mendy Kihn,34,Delivery Driver,43301,730,6709092090371590,True,True,156.0,59.5,GREEN,mendy.kihn@hotmail.com,Male,True,A-,mendy59,-0.37,Christian,Thu Aug 16 03:49:06 UTC 1990,1.6,81835 Davis Pine,Middleton,Massachusetts,United States,36729-0782,5108169,+1 83385984894,164.1.87.165,US,61.41732283464567,131.1975,24.45,Normal,18.5 - 25,Low income,Northeast,7029917,"84,945"
88,Clarence Towne,24,Agricultural Engineer,73609,554,6759-1352-6419-6340,True,True,166.0,70.2,BLUE,towne.clarence@gmail.com,Male,False,A+,clarence2,-0.05,Christian,Wed Nov 17 11:14:41 UTC 1999,0.0,29826 Antione Garden,Waverly,Georgia,United States,67893,5512827,+1 37588397121,190.232.1.230,US,65.35433070866142,154.79100000000003,25.48,Overweight,18.5 - 25,Middle income,South,10711908,"57,129"
89,Alberto Mann,36,Human Resources Specialist,65576,401,5019-7997-7117-8238,False,True,175.0,59.9,BROWN,alberto_mann@gmail.com,Female,True,A+,alberto25,0.34,Hinduism,Fri Dec 11 15:52:55 UTC 1987,1.9,45599 Edmund Stream,Tupelo,Missouri,United States,77201,4288809,+1 89922028897,94.189.154.139,US,68.89763779527559,132.0795,19.56,Normal,18.5 - 25,Middle income,Midwest,6154913,"56,551"
90,Nell Robel,54,Mechanic,45239,592,3455-475582-01418,False,False,166.0,65.8,BROWN,nellrobel@yahoo.com,Other,False,A+,nell22,-0.14,Christianity,Sun Oct 26 04:51:08 UTC 1969,2.5,8637 Champlin Trail,Midland,Illinois,United States,42815-8491,4683462,+1 05216803368,107.69.150.225,US,65.35433070866142,145.089,23.88,Normal,18.5 - 25,Low income,Midwest,12812508,"68,822"
91,Malcolm Reinger,28,Paramedic,54160,609,3528-0103-2338-3709,True,True,150.0,54.7,BROWN,malcolm_reinger@yahoo.com,Female,False,AB-,malcolm60,-0.53,Christianity,Sat Sep 23 11:59:33 UTC 1995,2.8,21481 Wehner Crossing,Fargo,Ohio,United States,09113,4619943,+1 47415407723,117.230.113.217,US,59.05511811023622,120.61350000000002,24.31,Normal,18.5 - 25,Middle income,Midwest,11799448,"57,880"
92,Shakira Smitham,27,Delivery Driver,37585,595,6759-9075-8526-6422-137,False,False,170.0,75.2,GRAY,shakirasmitham@gmail.com,Male,False,A-,shakira29,-0.47,Christianity,Wed Jun 11 03:43:20 UTC 1997,1.9,5209 Feest Loop,Searcy,Utah,United States,56161,4619943,+1 39999994308,255.53.33.145,US,66.92913385826772,165.816,26.02,Overweight,18.5 - 25,Low income,West,3271616,"57,925"
93,Michelina Glover,28,Workforce Management Specialist,67271,533,6759-2632-7734-6072,False,False,145.0,66.0,BROWN,michelina.michelina@yahoo.com,Female,False,A-,michelina66,-1.0,Christian,Thu Jun 06 22:19:42 UTC 1996,2.8,245 Stevie Flats,Shelbyville,Missouri,United States,63869-4435,4212992,+1 43155395935,244.6.119.248,US,57.08661417322835,145.53,31.39,Obese Class I,18.5 - 25,Middle income,Midwest,6154913,"56,551"
94,Margret Carroll,31,Industrial Designer,75022,575,6771-8914-0363-3791,True,False,175.0,44.9,GREEN,margretcarroll@gmail.com,Female,False,B-,margret46,-0.91,Hinduism,Thu Feb 25 03:20:45 UTC 1993,2.7,57706 Gleason Groves,Kendall,California,United States,59637-9877,5116004,+1 68055523826,204.8.148.156,US,68.89763779527559,99.0045,14.66,Severe Thinness,18.5 - 25,Middle income,West,39538223,"77,339"
95,Karry Corkery,43,Retail Sales Associate,31217,518,4913-4829-1538-3523,False,False,150.0,59.2,GRAY,karry_corkery@gmail.com,Female,False,AB+,karry99,-0.67,Islam,Mon Jun 22 18:58:51 UTC 1981,2.3,4640 Adams Fort,Jacksonville,California,United States,60434,5490263,+1 03989524140,82.112.122.42,US,59.05511811023622,130.536,26.31,Overweight,18.5 - 25,Low income,West,39538223,"77,339"
96,Estela Pollich,77,Retired,0,587,4103-5624-2251-7752,False,True,165.0,50.7,GRAY,estelapollich@yahoo.com,Female,False,O+,estela89,0.38,Other Religions,Tue May 06 21:25:04 UTC 1947,2.8,6179 Shanti Ridge,Boulder City,California,United States,32357-8671,4198322,+1 98837445317,75.16.172.21,US,64.96062992125984,111.79350000000001,18.62,Normal,18.5 - 25,Low income,West,39538223,"77,339"
97,Mia Keebler,31,Computer Hardware Engineer,100455,734,3528-0601-1958-8011,True,False,156.0,64.2,BROWN,miakeebler@gmail.com,Female,True,B-,mia38,-1.0,Christianity,Thu Mar 11 16:09:24 UTC 1993,0.3,7971 Howell Wall,Acton,California,United States,50810-5316,4250542,+1 97224669507,238.65.76.125,US,61.41732283464567,141.561,26.38,Overweight,18.5 - 25,Middle income,West,39538223,"77,339"
98,Victoria Considine,49,Accountant,79658,487,6771-8934-0327-2976,True,True,170.0,54.4,GREEN,victoria_considine@hotmail.com,Male,False,A-,victoria39,-1.0,Islam,Mon Jun 16 18:12:29 UTC 1975,2.8,300 Deshawn Creek,Jasmine Estates,Texas,United States,55898-5368,1734098,+60 778236251,197.27.0.251,MY,66.92913385826772,119.952,18.82,Normal,18.5 - 25,Middle income,South,29145505,"61,985"
99,Gus O'Conner,51,Driller,64549,763,6771-8989-9091-2645,False,True,160.0,60.4,BROWN,guso'conner@gmail.com,Female,False,AB+,gus25,-0.62,Christian,Thu May 03 02:22:26 UTC 1973,0.0,753 Milan Lock,Sun Valley,Indiana,United States,46928-5089,4517698,+1 22820059526,95.189.48.103,US,62.99212598425197,133.182,23.59,Normal,18.5 - 25,Middle income,Midwest,6785528,"57,930"
100,Rosendo Marquardt,23,Doctor,116987,483,4015-3375-1645-6754,False,False,155.0,64.2,BROWN,marquardt@yahoo.com,Female,False,B+,rosendo4,-0.41,Christian,Wed Feb 13 12:22:41 UTC 2002,2.0,440 Billie Key,Rutherford,Minnesota,United States,82782,4219001,+1 52328315670,3.100.31.205,US,61.023622047244096,141.561,26.72,Overweight,18.5 - 25,Middle income,Midwest,5706494,"68,010"
101,Landon Simonis,20,Military Enlisted Member,50269,785,5019-7358-6246-0093,False,False,170.0,69.9,BROWN,simonis@gmail.com,Male,False,A-,landon85,0.38,Christian,Fri Jan 23 04:17:26 UTC 2004,3.3,5967 Delena Summit,La Vergne,Vermont,United States,54287,4102412,+1 89964486265,219.168.171.207,US,66.92913385826772,154.1295,24.19,Normal,18.5 - 25,Low income,Northeast,643077,"63,206"
102,Ron Labadie,62,Insurance Agent,66137,485,6771-8963-8367-4368,True,False,160.0,59.3,BROWN,ron_labadie@gmail.com,Female,True,A-,ron75,-0.52,Christian,Tue Apr 18 08:33:45 UTC 1961,3.1,29003 Cartwright Club,Holly Springs,Arkansas,United States,14586-0452,5331920,+1 84146421711,50.234.248.98,US,62.99212598425197,130.7565,23.16,Normal,18.5 - 25,Middle income,South,3011524,"51,787"
103,Grisel Thiel,29,Cybersecurity Specialist,74124,726,6767-9753-8072-2242-83,True,False,166.0,64.2,BROWN,thiel.grisel@hotmail.com,Male,False,A+,grisel72,0.24,Christian,Sun Jun 25 04:35:58 UTC 1995,3.6,4410 Franecki Landing,Crest Hill,Nebraska,United States,04814-9223,4690198,+1 86538350697,195.171.116.78,US,65.35433070866142,141.561,23.3,Normal,18.5 - 25,Middle income,Midwest,1961504,"63,321"
104,Ernestina Daugherty,31,Unemployed,19261,703,4276-8563-2434-3759,False,True,176.0,70.5,BLUE,ernestina_daugherty@yahoo.com,Male,True,AB+,ernestina78,-0.02,Christian,Thu May 20 22:29:35 UTC 1993,2.7,865 Garret Station,Natick,Missouri,United States,57860-4065,4354573,+1 99764508971,165.160.3.126,US,69.29133858267717,155.45250000000001,22.76,Normal,18.5 - 25,Low income,Midwest,6154913,"56,551"
105,Coleman Gleason,27,Microbiologist,89778,829,6771-8911-3116-2220,True,True,166.0,55.4,GRAY,coleman_gleason@gmail.com,Male,False,B+,coleman56,-0.19,Hinduism,Fri Jul 18 06:51:10 UTC 1997,3.7,60611 Hermiston Groves,West Lake Stevens,Maryland,United States,63013-1013,5391295,+1 61540635148,104.205.120.97,US,65.35433070866142,122.157,20.1,Normal,18.5 - 25,Middle income,South,6177224,"70,730"
106,Cassi Raynor,34,Content Creator,71897,531,5019-6052-3443-2569,False,False,171.0,60.3,GREEN,cassi_raynor@gmail.com,Male,True,AB+,cassi91,0.79,Christian,Fri Jul 27 13:27:03 UTC 1990,3.7,7616 Mraz Trail,State College,Indiana,United States,50937,5388873,+1 72857240309,234.180.208.80,US,67.32283464566929,132.9615,20.62,Normal,18.5 - 25,Middle income,Midwest,6785528,"57,930"
107,Ashley Lowe,50,Agricultural Scientist,76138,554,3528-3752-4822-5115,False,True,166.0,60.7,GRAY,ashley.ashley@gmail.com,Other,True,A+,ashley57,0.69,Christian,Mon Dec 03 07:07:06 UTC 1973,1.3,668 Laci Radial,North Bel Air,South Carolina,United States,07329,460413,+371 65906695,189.39.209.111,LV,65.35433070866142,133.8435,22.03,Normal,18.5 - 25,Middle income,South,5118425,"53,320"
108,Clarence Torp,31,Engineer,96888,406,3752-927075-76344,True,True,171.0,69.8,BLUE,torp.torp@yahoo.com,Male,True,B-,clarence30,0.53,Christianity,Tue Dec 08 02:21:19 UTC 1992,1.9,474 Nader Springs,Lincoln Park,California,United States,28785-8302,5350207,+1 98822113193,242.207.84.154,US,67.32283464566929,153.909,23.87,Normal,18.5 - 25,Middle income,West,39538223,"77,339"
109,Ivan Rau,49,Accountant,77679,836,6767-4623-3851-1301-908,True,True,161.0,60.1,BROWN,ivan@hotmail.com,Female,False,B+,ivan13,-0.49,Christian,Mon Jul 21 20:35:11 UTC 1975,0.0,5330 Rolfson Camp,Shrewsbury,Illinois,United States,45125-4673,6941080,+1 02036571467,167.58.229.234,US,63.38582677165354,132.5205,23.19,Normal,18.5 - 25,Middle income,Midwest,12812508,"68,822"
110,Harold Medhurst,38,Uber Driver,32289,646,6771-8964-0764-7663,True,False,166.0,74.8,BLUE,haroldmedhurst@gmail.com,Female,False,A-,harold36,0.75,Islam,Sat Apr 26 00:08:21 UTC 1986,2.0,56617 Crooks Underpass,Cookeville,California,United States,61622,5193011,+1 19121172149,102.168.212.1,US,65.35433070866142,164.934,27.14,Overweight,18.5 - 25,Low income,West,39538223,"77,339"
111,Raymon Marks,74,Retired,0,555,5019-6528-7360-7630,True,True,151.0,74.5,BLUE,marks@gmail.com,Male,False,A-,raymon10,-0.12,Christian,Fri May 12 04:29:27 UTC 1950,2.8,15217 Pfannerstill Dam,Wahiawā,Oklahoma,United States,96053,5024825,+1 77297075558,146.1.209.69,US,59.44881889763779,164.2725,32.67,Obese Class I,18.5 - 25,Low income,South,3959353,"54,998"
112,Simon Windler,35,Physical Therapy Assistant,59809,503,4186-8891-3306-7698,True,True,170.0,64.7,AMBER,simonwindler@hotmail.com,Male,False,A+,simon66,-0.41,Christian,Tue Oct 25 04:30:08 UTC 1988,3.2,56637 Feil Extensions,Sierra Vista,California,United States,36857,5853992,+1 26394847004,93.224.166.46,US,66.92913385826772,142.6635,22.39,Normal,18.5 - 25,Middle income,West,39538223,"77,339"
113,Teresa Nader,46,Radiologic Technologist,69683,370,6767-1884-7488-6011-90,False,True,165.0,55.8,GRAY,teresa_nader@yahoo.com,Female,False,B+,teresa99,-0.6,Christianity,Thu Sep 01 12:02:37 UTC 1977,3.5,63998 Erdman Shore,Pontiac,Colorado,United States,97254,5583509,+1 82435099888,152.227.34.47,US,64.96062992125984,123.039,20.5,Normal,18.5 - 25,Middle income,Unknown,5773714,"74,167"
114,Alphonse Swift,70,Retired,0,623,3529-3426-2993-7956,True,True,171.0,60.6,BROWN,alphonse@yahoo.com,Male,True,A-,alphonse27,-0.17,Buddhism,Sat Aug 08 16:03:44 UTC 1953,2.9,422 Noe Squares,Deer Park,Minnesota,United States,31676-9543,4254957,+1 33462195329,134.73.72.40,US,67.32283464566929,133.62300000000002,20.72,Normal,18.5 - 25,Low income,Midwest,5706494,"68,010"
115,Fredric Hyatt,20,Physical Therapy Assistant,56418,608,3770-779500-51980,False,False,160.0,59.5,BLUE,hyatt@gmail.com,Female,True,B+,fredric40,0.68,Hinduism,Thu Jan 15 10:00:47 UTC 2004,2.9,4496 Stoltenberg Avenue,Carlsbad,Florida,United States,38425-3844,934570,+230 592186664,48.29.137.160,MU,62.99212598425197,131.1975,23.24,Normal,18.5 - 25,Middle income,South,21538187,"63,597"
116,Herman Grant,30,Stunt Double,68891,798,6007-2200-0983-8529,False,False,165.0,59.2,BROWN,hermangrant@gmail.com,Female,False,B+,herman28,0.7,Christian,Tue Sep 21 00:40:40 UTC 1993,1.1,7570 Victor Passage,Medina,New Jersey,United States,36188,4866263,+1 20790119454,84.150.131.228,US,64.96062992125984,130.536,21.74,Normal,18.5 - 25,Middle income,Northeast,9288994,"78,700"
117,Jamal Kuphal,31,Unemployed,17395,505,4615067306887,True,True,156.0,60.2,GRAY,kuphal@gmail.com,Male,True,A+,jamal10,-0.49,Hinduism,Fri Feb 19 22:36:48 UTC 1993,1.2,9441 Josef Island,Novi,Iowa,United States,03754,174972,+374 24550578,235.143.7.83,AM,61.41732283464567,132.741,24.74,Normal,18.5 - 25,Low income,Midwest,3190369,"58,905"
118,Thelma Corkery,20,Childcare Worker,34113,604,6007-2246-0744-8392,False,True,150.0,65.9,GREEN,thelmacorkery@gmail.com,Male,True,B+,thelma11,0.85,Christian,Sun Mar 21 18:23:33 UTC 2004,3.5,089 Klocko Extension,Tillmans Corner,New York,United States,53731,3748726,+1784 9560762159,195.36.100.129,VC,59.05511811023622,145.3095,29.29,Overweight,18.5 - 25,Low income,Northeast,20201249,"78,089"
119,Virginia Ruecker,48,Mathematician,108978,756,3528-1337-3765-3366,True,True,171.0,70.9,GREEN,virginia_ruecker@gmail.com,Male,True,AB+,virginia51,-0.97,Hinduism,Fri May 07 15:19:42 UTC 1976,2.0,1977 Rhea Extension,Coconut Grove,Virginia,United States,94410-1343,4389418,+1 27269552376,28.176.211.43,US,67.32283464566929,156.33450000000002,24.25,Normal,18.5 - 25,Middle income,South,8631393,"68,211"
120,Detra Heidenreich,42,Receptionist,36725,726,6759-1929-5169-2678-90,False,True,161.0,70.0,GRAY,heidenreich.heidenreich@hotmail.com,Male,True,A-,detra38,-0.59,Hinduism,Wed Mar 24 00:33:55 UTC 1982,4.0,33563 Ritchie Junction,Brentwood Estates,California,United States,49907,4074267,+1 03744110265,92.191.169.113,US,63.38582677165354,154.35,27.01,Overweight,18.5 - 25,Low income,West,39538223,"77,339"
121,Blake Thiel,25,Mining Engineer,72957,585,5019-2716-2109-5863,False,False,175.0,59.3,GRAY,blake_thiel@hotmail.com,Male,False,A+,blake82,0.49,Christianity,Mon Apr 05 03:54:46 UTC 1999,3.1,1346 Aida Tunnel,West Hills,Colorado,United States,82479,5108815,+1 96090603921,237.167.210.30,US,68.89763779527559,130.7565,19.36,Normal,18.5 - 25,Middle income,Unknown,5773714,"74,167"
122,Mendy Cruickshank,41,Phlebotomist,44269,366,6771465873358047,True,False,151.0,60.5,BROWN,cruickshank.mendy@gmail.com,Male,True,B+,mendy53,-0.3,Christian,Fri Jul 16 00:09:27 UTC 1982,4.0,192 Crona Ports,North Highlands,Washington,United States,72792,4365227,+1 29441565730,158.99.151.13,US,59.44881889763779,133.4025,26.53,Overweight,18.5 - 25,Low income,West,7705281,"75,698"
123,Samuel McDermott,32,Human Resources Specialist,69189,490,3406-876965-19613,False,False,155.0,69.5,GREEN,samuel.mcdermott@gmail.com,Female,False,A+,samuel24,-0.54,Christian,Sat May 30 11:26:55 UTC 1992,2.8,7605 Francisco Mount,Palo Alto,New Jersey,United States,70216-4998,5385955,+1 06881205419,89.206.16.208,US,61.023622047244096,153.2475,28.93,Overweight,18.5 - 25,Middle income,Northeast,9288994,"78,700"
124,Winter Kulas,22,Quality Control Manager,75003,600,4449585602399,True,True,171.0,64.1,BROWN,kulas@gmail.com,Female,False,A+,winter23,0.57,Christian,Mon May 06 05:13:12 UTC 2002,3.4,31415 Lynch Crossing,Rio Rancho,Hawaii,United States,39158,5207490,+1 29210251355,93.197.175.169,US,67.32283464566929,141.3405,21.92,Normal,18.5 - 25,Middle income,West,1455271,"61,175"
125,Marcel Considine,38,IT Manager,107884,469,3529-3155-2933-9762,False,False,171.0,60.0,AMBER,marcel.marcel@yahoo.com,Female,True,B+,marcel69,-0.27,Christian,Wed Apr 16 19:53:03 UTC 1986,0.0,33266 Spinka Square,Wilmette,Maryland,United States,92051,2744991,+31 214948726,192.37.36.159,NL,67.32283464566929,132.3,20.52,Normal,18.5 - 25,Middle income,South,6177224,"70,730"
126,Roosevelt Homenick,29,Veterinarian,87196,557,5019-0935-4025-7949,True,True,161.0,60.5,GRAY,homenick.roosevelt@yahoo.com,Female,False,B+,roosevelt23,-0.54,Christian,Fri Aug 12 17:29:37 UTC 1994,2.3,04222 Kimi View,Duarte,Florida,United States,11201-7246,4663494,+1 12065965925,135.113.14.21,US,63.38582677165354,133.4025,23.34,Normal,18.5 - 25,Middle income,South,21538187,"63,597"
